Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"80,894","3,237","69,614","8,043",18-03-2020,23:42
Italy,"35,713","2,978","4,025","28,710",18-03-2020,23:42
Iran,"17,361","1,135","5,710","10,516",18-03-2020,23:42
Spain,"14,769",638,"1,081","13,050",18-03-2020,23:42
Germany,"12,327",28,105,"12,194",18-03-2020,23:42
France,"9,134",264,602,"8,268",18-03-2020,23:42
S. Korea,"8,413",84,"1,540","6,789",18-03-2020,23:42
USA,"8,055",127,106,"7,822",18-03-2020,23:42
Switzerland,"3,115",33,15,"3,067",18-03-2020,23:42
UK,"2,626",104,65,"2,457",18-03-2020,23:42
Netherlands,"2,051",58,2,"1,991",18-03-2020,23:42
Austria,"1,646",4,9,"1,633",18-03-2020,23:42
Norway,"1,582",6,1,"1,575",18-03-2020,23:42
Belgium,"1,486",14,31,"1,441",18-03-2020,23:42
Sweden,"1,292",10,15,"1,267",18-03-2020,23:42
Denmark,"1,057",4,1,"1,052",18-03-2020,23:42
Japan,899,29,144,726,18-03-2020,23:42
Malaysia,790,2,60,728,18-03-2020,23:42
Diamond Princess,712,7,456,249,18-03-2020,23:42
Canada,656,9,12,635,18-03-2020,23:42
Portugal,642,2,4,636,18-03-2020,23:42
Australia,565,6,43,516,18-03-2020,23:42
Czechia,522,,3,519,18-03-2020,23:42
Qatar,452,,4,448,18-03-2020,23:42
Israel,433,,11,422,18-03-2020,23:42
Greece,418,5,14,399,18-03-2020,23:42
Brazil,394,3,2,389,18-03-2020,23:42
Finland,359,,10,349,18-03-2020,23:42
Singapore,313,,114,199,18-03-2020,23:42
Pakistan,307,2,13,292,18-03-2020,23:42
Ireland,292,2,5,285,18-03-2020,23:42
Poland,287,5,1,281,18-03-2020,23:42
Slovenia,286,1,,285,18-03-2020,23:42
Romania,260,,19,241,18-03-2020,23:42
Estonia,258,,1,257,18-03-2020,23:42
Bahrain,255,1,95,159,18-03-2020,23:42
Iceland,250,,5,245,18-03-2020,23:42
Saudi Arabia,238,,6,232,18-03-2020,23:42
Chile,238,,,238,18-03-2020,23:42
Indonesia,227,19,11,197,18-03-2020,23:42
Thailand,212,1,41,170,18-03-2020,23:42
Egypt,210,6,28,176,18-03-2020,23:42
Luxembourg,203,2,,201,18-03-2020,23:42
Philippines,202,17,4,181,18-03-2020,23:42
Turkey,191,2,,189,18-03-2020,23:42
Hong Kong,181,4,92,85,18-03-2020,23:42
India,168,3,14,151,18-03-2020,23:42
Iraq,164,12,41,111,18-03-2020,23:42
Ecuador,155,2,,153,18-03-2020,23:42
Russia,147,,8,139,18-03-2020,23:42
Peru,145,,1,144,18-03-2020,23:42
Kuwait,142,,15,127,18-03-2020,23:42
Lebanon,133,4,4,125,18-03-2020,23:42
San Marino,119,11,4,104,18-03-2020,23:42
South Africa,116,,,116,18-03-2020,23:42
UAE,113,,26,87,18-03-2020,23:42
Armenia,110,,1,109,18-03-2020,23:42
Slovakia,105,,,105,18-03-2020,23:42
Taiwan,100,1,20,79,18-03-2020,23:42
Mexico,93,,4,89,18-03-2020,23:42
Colombia,93,,1,92,18-03-2020,23:42
Bulgaria,92,2,,90,18-03-2020,23:42
Serbia,89,,1,88,18-03-2020,23:42
Croatia,87,,5,82,18-03-2020,23:42
Panama,86,1,,85,18-03-2020,23:42
Argentina,79,2,3,74,18-03-2020,23:42
Vietnam,76,,16,60,18-03-2020,23:42
Algeria,75,7,32,36,18-03-2020,23:42
Latvia,71,,1,70,18-03-2020,23:42
Costa Rica,69,,,69,18-03-2020,23:42
Brunei,68,,,68,18-03-2020,23:42
Albania,59,2,,57,18-03-2020,23:42
Hungary,58,1,2,55,18-03-2020,23:42
Cyprus,58,,,58,18-03-2020,23:42
Faeroe Islands,58,,1,57,18-03-2020,23:42
Jordan,56,,1,55,18-03-2020,23:42
Morocco,54,2,1,51,18-03-2020,23:42
Andorra,53,,1,52,18-03-2020,23:42
Belarus,51,,5,46,18-03-2020,23:42
Sri Lanka,51,,3,48,18-03-2020,23:42
Uruguay,50,,,50,18-03-2020,23:42
Malta,48,,2,46,18-03-2020,23:42
Palestine,44,,,44,18-03-2020,23:42
Oman,39,,13,26,18-03-2020,23:42
Bosnia and Herzegovina,39,,2,37,18-03-2020,23:42
Georgia,38,,1,37,18-03-2020,23:42
Cambodia,37,,1,36,18-03-2020,23:42
Moldova,36,1,1,34,18-03-2020,23:42
Senegal,36,,2,34,18-03-2020,23:42
Kazakhstan,36,,,36,18-03-2020,23:42
Venezuela,36,,,36,18-03-2020,23:42
North Macedonia,35,,1,34,18-03-2020,23:42
Azerbaijan,34,1,6,27,18-03-2020,23:42
Lithuania,33,,1,32,18-03-2020,23:42
Tunisia,29,,1,28,18-03-2020,23:42
Liechtenstein,28,,,28,18-03-2020,23:42
Guadeloupe,27,,,27,18-03-2020,23:42
Martinique,23,1,,22,18-03-2020,23:42
Afghanistan,22,,1,21,18-03-2020,23:42
Dominican Republic,21,1,,20,18-03-2020,23:42
Burkina Faso,20,1,,19,18-03-2020,23:42
New Zealand,20,,,20,18-03-2020,23:42
Uzbekistan,18,,,18,18-03-2020,23:42
Macao,17,,10,7,18-03-2020,23:42
Ukraine,16,2,,14,18-03-2020,23:42
Bangladesh,14,1,3,10,18-03-2020,23:42
Cameroon,13,,,13,18-03-2020,23:42
Jamaica,13,,2,11,18-03-2020,23:42
Maldives,13,,,13,18-03-2020,23:42
Bolivia,12,,,12,18-03-2020,23:42
Réunion,12,,,12,18-03-2020,23:42
French Guiana,11,,,11,18-03-2020,23:42
Paraguay,11,,,11,18-03-2020,23:42
Rwanda,11,,,11,18-03-2020,23:42
Cuba,10,,,10,18-03-2020,23:42
Monaco,9,,,9,18-03-2020,23:42
Ivory Coast,9,,1,8,18-03-2020,23:42
Honduras,9,,,9,18-03-2020,23:42
Guatemala,8,1,,7,18-03-2020,23:42
Nigeria,8,,1,7,18-03-2020,23:42
Gibraltar,8,,2,6,18-03-2020,23:42
Guam,8,,,8,18-03-2020,23:42
Montenegro,8,,,8,18-03-2020,23:42
Channel Islands,7,,,7,18-03-2020,23:42
DRC,7,,,7,18-03-2020,23:42
Ghana,7,,,7,18-03-2020,23:42
Kenya,7,,,7,18-03-2020,23:42
Trinidad and Tobago,7,,,7,18-03-2020,23:42
Ethiopia,6,,,6,18-03-2020,23:42
Mongolia,6,,,6,18-03-2020,23:42
Seychelles,6,,,6,18-03-2020,23:42
Puerto Rico,5,,,5,18-03-2020,23:42
Guyana,4,1,,3,18-03-2020,23:42
Aruba,4,,,4,18-03-2020,23:42
Equatorial Guinea,4,,,4,18-03-2020,23:42
Curaçao,3,,,3,18-03-2020,23:42
French Polynesia,3,,,3,18-03-2020,23:42
Gabon,3,,,3,18-03-2020,23:42
Kyrgyzstan,3,,,3,18-03-2020,23:42
Mauritius,3,,,3,18-03-2020,23:42
Mayotte,3,,,3,18-03-2020,23:42
St. Barth,3,,,3,18-03-2020,23:42
Saint Martin,3,,,3,18-03-2020,23:42
Tanzania,3,,,3,18-03-2020,23:42
Sudan,2,1,,1,18-03-2020,23:42
Barbados,2,,,2,18-03-2020,23:42
Benin,2,,,2,18-03-2020,23:42
Greenland,2,,,2,18-03-2020,23:42
Liberia,2,,,2,18-03-2020,23:42
Mauritania,2,,,2,18-03-2020,23:42
Namibia,2,,,2,18-03-2020,23:42
New Caledonia,2,,,2,18-03-2020,23:42
Saint Lucia,2,,,2,18-03-2020,23:42
U.S. Virgin Islands,2,,,2,18-03-2020,23:42
Zambia,2,,,2,18-03-2020,23:42
Cayman Islands,1,1,,0,18-03-2020,23:42
Nepal,1,,1,0,18-03-2020,23:42
Antigua and Barbuda,1,,,1,18-03-2020,23:42
Bahamas,1,,,1,18-03-2020,23:42
Bhutan,1,,,1,18-03-2020,23:42
CAR,1,,,1,18-03-2020,23:42
Congo,1,,,1,18-03-2020,23:42
Djibouti,1,,,1,18-03-2020,23:42
Gambia,1,,,1,18-03-2020,23:42
Guinea,1,,,1,18-03-2020,23:42
Vatican City,1,,,1,18-03-2020,23:42
Montserrat,1,,,1,18-03-2020,23:42
St. Vincent Grenadines,1,,,1,18-03-2020,23:42
Sint Maarten,1,,,1,18-03-2020,23:42
Somalia,1,,,1,18-03-2020,23:42
Suriname,1,,,1,18-03-2020,23:42
Eswatini,1,,,1,18-03-2020,23:42
Togo,1,,,1,18-03-2020,23:42
China,"80,894","3,237","69,614","8,043",18-03-2020,23:44
Italy,"35,713","2,978","4,025","28,710",18-03-2020,23:44
Iran,"17,361","1,135","5,710","10,516",18-03-2020,23:44
Spain,"14,769",638,"1,081","13,050",18-03-2020,23:44
Germany,"12,327",28,105,"12,194",18-03-2020,23:44
France,"9,134",264,602,"8,268",18-03-2020,23:44
S. Korea,"8,413",84,"1,540","6,789",18-03-2020,23:44
USA,"8,304",133,106,"8,065",18-03-2020,23:44
Switzerland,"3,115",33,15,"3,067",18-03-2020,23:44
UK,"2,626",104,65,"2,457",18-03-2020,23:44
Netherlands,"2,051",58,2,"1,991",18-03-2020,23:44
Austria,"1,646",4,9,"1,633",18-03-2020,23:44
Norway,"1,582",6,1,"1,575",18-03-2020,23:44
Belgium,"1,486",14,31,"1,441",18-03-2020,23:44
Sweden,"1,292",10,15,"1,267",18-03-2020,23:44
Denmark,"1,057",4,1,"1,052",18-03-2020,23:44
Japan,899,29,144,726,18-03-2020,23:44
Malaysia,790,2,60,728,18-03-2020,23:44
Diamond Princess,712,7,456,249,18-03-2020,23:44
Canada,656,9,12,635,18-03-2020,23:44
Portugal,642,2,4,636,18-03-2020,23:44
Australia,565,6,43,516,18-03-2020,23:44
Czechia,522,,3,519,18-03-2020,23:44
Qatar,452,,4,448,18-03-2020,23:44
Israel,433,,11,422,18-03-2020,23:44
Greece,418,5,14,399,18-03-2020,23:44
Brazil,394,3,2,389,18-03-2020,23:44
Finland,359,,10,349,18-03-2020,23:44
Singapore,313,,114,199,18-03-2020,23:44
Pakistan,307,2,13,292,18-03-2020,23:44
Ireland,292,2,5,285,18-03-2020,23:44
Poland,287,5,1,281,18-03-2020,23:44
